name tuple,176,177,179,178,180,181,182,183,184,185,186,187,188,190,193,189,191,192,194,195,196,197,198,199,200,201,202,203,204,205,206,212,214,207,217,219,208,209,210,211,276,277,278,279,280,281,282,283,284,285,287,286,288,289,291,290,293,292,296,294,295,298,297,299,300,301,302,303,304,308,305,306,310,307,309,311,312,313,314,315,318,316,317,319,323,320,321,322,324,325,326,329,327,328,330,331,333,336,332,334,335,337,338,339,346,340,341,342,347,343,344,345,348,213,215,216,220,218,222,226,221,227,228,223,224,225,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,463,464,465,466,467,468,469,471,470,472,473,474,475,476,479,480,477,478,481,482,489,490,483,484,487,491,485,486,488,493,494,492,495,496,497,498,499,500,501,66,68,67,69,70,71,72,73,74,75,76,77,80,78,79,81,82,83,87,85,84,86,88,89,90,91,94,92,93,95,97,96,99,98,100,101,385,386,387,388,389,390,395,391,396,397,398,392,399,393,394,400,402,401,403,405,404,406,407,409,408,413,414,410,411,412,415,417,416,418,419,420,421,422,423,425,139,140,141,142,143,144,148,145,149,146,147,150,151,152,154,153,156,155,158,159,157,160,162,161,163,164,165,166,168,167,170,171,169,172,174,173,175,32,263,33,34,265,35,41,36,42,266,37,38,43,39,40,47,49,44,45,50,46,48,51,52,53,54,55,58,57,56,59,60,61,62,63,65,64,4,5,9,6,7,8,10,11,12,13,14,15,16,17,18,126,23,19,20,129,21,24,22,26,28,25,27,29,30,245,252,31,254,257,102,103,104,105,106,112,109,107,108,113,110,111,121,114,115,122,116,118,117,119,124,120,123,125,127,128,130,132,131,133,134,136,135,137,138,538,539,541,540,542,543,544,545,546,547,548,549,551,552,553,554,556,555,557,558,502,503,506,504,505,507,508,509,510,511,512,513,514,515,517,518,516,521,522,519,520,523,525,524,528,529,526,527,530,533,534,535,531,532,536,537,246,247,250,248,249,251,253,255,256,258,260,261,259,262,264,267,268,269,270,271,272,273,274,275,349,350,351,352,354,353,355,356,358,357,359,361,363,360,362,364,366,365,367,368,369,370,371,376,372,373,377,374,375,378,379,381,380,382,383,384,429,426,427,432,428,430,434,431,435,433,436,437,438,439,440,445,442,443,444,446,448,566,449,451,452,450,454,455,453,456,457,458,459,462,460,461
Homer Simpson,58,18,75,18,17,75,68,94,77,63,38,56,54,76,26,18,62,29,73,35,11,95,73,26,111,95,65,89,55,111,43,82,47,55,64,97,114,80,54,96,64,68,74,52,38,37,39,39,65,93,61,22,55,25,71,76,119,74,67,27,45,21,60,86,54,71,65,32,27,95,35,104,58,20,53,92,31,41,46,84,90,27,59,50,77,78,28,63,1,32,44,26,48,68,43,52,42,42,74,48,31,53,23,39,32,64,52,61,54,59,39,44,79,110,73,113,84,53,117,86,42,99,56,33,51,49,89,70,145,115,51,73,18,88,61,74,69,68,111,45,29,72,24,28,16,29,16,61,38,43,17,39,90,27,12,53,33,62,32,40,82,18,38,59,40,54,70,63,46,42,15,71,16,50,28,109,44,8,21,63,62,48,85,49,68,90,46,45,70,33,62,45,63,25,45,23,11,63,36,79,70,94,42,58,65,83,56,57,77,27,17,88,51,35,81,7,30,73,41,35,51,63,31,47,27,45,69,34,7,21,49,70,61,82,96,80,49,27,39,58,82,46,30,26,44,20,17,61,21,34,37,78,23,82,14,39,95,20,50,71,45,10,41,39,63,13,17,15,7,52,82,37,27,53,77,46,60,43,16,112,36,68,31,53,48,97,34,23,64,13,7,22,28,36,47,101,95,37,82,79,12,69,60,59,56,85,111,22,44,116,100,85,69,69,72,44,50,49,10,62,104,22,29,17,61,31,45,91,46,69,53,5,33,54,62,91,49,73,67,31,69,23,95,64,45,84,58,54,91,41,17,56,129,36,84,101,113,38,51,46,98,28,58,117,90,24,91,20,30,43,74,67,45,13,64,15,39,42,67,99,35,96,64,27,31,8,76,28,22,18,15,9,19,42,52,59,50,115,17,39,24,68,75,26,31,17,35,78,57,55,39,41,41,25,14,45,28,39,50,28,78,90,60,61,28,55,19,41,46,59,64,54,73,76,88,26,58,43,44,75,33,49,69,9,26,71,39,23,52,24,52,84,70,39,11,28,34,21,98,49,60,45,81,104,39,53,116,9,21,19,51,44,90,22,50,99,103,48,51,34,44,23,122,39,86,57,59,43,50,91,54,36,31,32,83,58,60,20,62,19,27,42,57,81,19,45,27,44,17,58,25,62,24,49,46,38,25,61,64,71,32,85,51,36,43,45,48,12,111,55,31,36,51,14,33,49,22,0,30,22,91,46,20,55,41,22,70,33,60,49,67,30
Marge Simpson,14,21,23,14,16,44,27,42,22,17,14,76,44,49,17,14,34,13,9,16,26,10,6,17,23,18,23,71,14,30,52,13,21,31,49,28,17,16,31,29,27,44,46,61,13,17,22,22,34,29,13,5,31,12,25,33,24,26,38,14,54,8,24,9,77,22,26,18,15,39,29,15,16,3,22,49,25,33,11,17,19,16,26,13,56,18,50,12,17,24,32,16,28,52,31,53,32,17,20,30,5,62,50,61,11,11,7,54,19,19,17,32,65,10,18,39,43,56,37,31,31,34,48,15,20,17,8,24,42,15,24,47,8,39,11,27,24,16,17,10,16,17,32,28,15,30,14,39,44,24,15,26,9,40,3,10,9,23,47,5,29,8,15,6,27,11,17,70,23,12,6,30,8,5,23,19,18,6,28,32,13,43,11,26,44,24,31,32,14,4,29,18,19,36,17,14,0,8,17,64,16,15,18,28,8,9,35,16,11,13,7,14,13,21,28,7,8,36,13,49,26,23,12,40,13,32,28,19,10,20,17,23,30,36,21,37,26,54,20,36,11,22,9,24,10,14,11,25,14,31,16,21,4,26,39,21,50,50,15,15,58,11,4,18,13,6,11,9,3,9,15,12,33,20,19,33,45,26,7,31,17,18,56,11,37,31,13,18,21,11,3,13,17,50,20,19,50,17,35,32,12,15,20,38,22,15,37,12,16,68,31,25,8,45,18,22,30,12,18,32,43,15,24,17,19,15,60,27,14,33,25,5,16,101,30,25,27,33,39,11,48,15,20,35,22,23,79,45,27,36,12,19,26,83,25,21,70,21,41,9,43,16,50,12,10,25,35,11,22,74,24,23,44,3,29,15,24,35,58,15,14,39,4,13,24,16,23,33,12,16,13,2,10,45,17,18,19,19,15,20,34,23,37,9,11,24,20,38,13,27,20,5,48,5,14,22,15,57,17,4,31,15,23,21,26,30,13,13,25,63,24,5,21,36,28,11,16,37,33,49,15,18,40,8,49,21,26,29,82,17,29,35,27,17,16,7,29,68,15,25,20,15,11,35,10,73,46,5,7,11,34,12,10,19,41,49,7,12,46,44,22,12,45,22,25,10,15,32,35,50,45,64,32,21,13,20,24,7,19,16,17,47,47,80,12,9,20,29,18,41,19,48,25,9,15,12,29,11,9,29,12,18,15,11,47,23,18,6,24,42,46,27,9,1,53,50,5,0,25,6,33,7,19,36,38,7,18,10,20,15,11,12
Bart Simpson,19,7,15,40,14,32,24,18,41,11,8,9,46,50,39,10,11,43,7,23,93,19,3,58,11,30,33,22,20,32,71,10,31,42,13,15,10,9,19,12,18,8,10,6,53,60,14,11,23,3,49,5,6,29,8,4,12,10,18,49,30,38,11,8,19,10,55,14,6,16,15,11,26,19,15,10,34,7,38,20,16,12,31,14,9,8,20,54,6,58,15,55,13,14,15,35,18,8,10,26,9,27,27,9,38,61,3,9,4,8,45,15,23,5,16,8,30,17,10,25,41,7,68,49,7,7,9,31,26,1,9,15,47,39,47,9,21,18,23,14,103,28,44,7,5,4,37,29,33,40,13,32,9,42,13,42,18,7,11,35,43,15,8,24,32,15,8,29,21,27,49,22,11,36,5,13,12,21,19,16,49,18,7,50,54,10,15,28,39,21,22,6,31,18,28,31,29,17,29,8,9,12,42,36,56,13,9,4,9,68,9,10,9,37,55,36,42,5,60,8,10,13,52,24,5,18,11,39,36,28,21,13,17,13,11,10,25,2,42,16,1,23,70,44,4,8,5,25,71,10,13,22,28,6,62,68,17,79,12,29,9,42,3,45,6,6,57,2,35,7,20,27,34,18,20,43,11,6,5,9,5,18,4,14,28,35,19,50,21,34,46,5,90,14,29,12,32,122,32,30,53,60,35,25,24,26,19,68,31,11,17,38,18,13,19,62,52,13,53,23,8,53,38,27,10,47,10,12,22,51,28,4,101,34,45,38,67,40,52,45,39,100,9,40,11,19,10,25,45,66,7,48,18,16,26,27,10,21,41,15,14,22,19,10,6,28,9,63,32,14,17,17,29,29,17,83,36,12,11,7,10,14,7,34,52,42,29,36,33,70,12,46,60,18,18,31,11,17,24,20,22,12,16,5,69,16,15,10,14,33,6,51,13,32,13,34,21,13,3,8,12,7,11,38,55,16,12,53,22,19,13,11,9,16,17,30,16,33,28,17,46,2,4,15,39,8,24,29,4,10,14,6,10,31,33,35,28,25,29,20,20,14,14,60,32,17,23,19,43,33,5,13,18,4,26,54,18,3,9,23,12,17,15,29,7,11,15,38,18,15,43,54,3,20,11,15,6,5,35,18,13,16,6,12,3,7,23,15,25,9,16,26,35,22,11,8,15,15,26,12,8,12,20,22,9,5,1,64,19,16,0,38,12,59,20,7,10,0,92,28,36,24,11,59,17,45,23,24,16,7,15,12
Lisa Simpson,3,2,18,48,6,23,26,17,14,11,53,11,28,28,14,9,16,35,4,68,8,8,5,52,14,5,75,19,77,19,26,6,26,30,4,68,10,6,69,14,26,11,18,8,21,16,15,31,32,8,18,8,6,53,15,6,17,25,19,51,18,10,8,37,13,9,21,46,5,16,19,8,25,37,37,9,6,9,26,12,19,60,25,18,16,12,19,20,9,35,63,5,24,19,6,30,12,9,21,23,47,19,36,34,38,32,11,8,10,6,17,10,22,4,16,9,15,18,11,30,16,7,18,25,10,53,26,24,24,4,6,10,47,67,12,10,19,12,5,18,54,24,10,9,55,37,57,17,54,23,20,34,5,6,1,6,26,12,9,12,3,62,18,9,20,23,2,34,52,2,7,14,10,48,2,21,37,4,29,13,16,6,11,12,19,13,7,23,13,47,23,11,21,12,26,20,15,11,14,7,8,14,33,15,4,6,20,16,16,13,45,7,5,7,30,7,14,6,23,16,17,19,26,29,3,15,12,14,27,28,17,16,22,13,6,13,17,4,13,10,0,35,10,56,16,8,4,52,23,19,48,20,30,10,18,11,13,11,3,1,31,20,56,44,8,15,21,3,6,19,19,43,65,5,16,10,10,10,64,6,14,8,5,11,34,12,16,86,5,20,5,46,15,21,74,15,16,12,43,15,24,17,23,45,45,15,31,5,13,11,63,6,7,15,5,13,16,7,34,13,7,10,8,7,15,31,10,9,43,11,13,2,28,25,47,16,8,9,15,24,28,6,3,40,10,13,12,5,33,32,35,14,23,12,23,27,10,2,26,14,18,68,21,13,21,14,12,27,59,30,20,15,29,32,11,17,37,11,17,14,72,17,5,15,21,14,9,31,57,4,9,3,15,26,55,27,20,20,22,12,29,13,6,3,10,37,5,37,29,28,3,3,28,17,12,6,15,11,16,10,11,6,10,7,22,11,54,25,25,13,31,27,8,9,11,11,14,26,11,21,8,39,22,33,4,21,13,12,10,2,22,20,44,25,79,11,44,19,13,20,28,11,21,16,12,8,17,2,9,23,57,14,16,12,27,15,21,11,20,57,18,10,10,11,18,55,8,13,45,15,13,5,28,12,35,28,17,9,6,31,29,15,12,9,13,8,24,17,49,5,18,10,38,11,5,33,64,65,20,13,36,23,21,17,13,57,3,15,26,35,15,38,3,3,11,1,37,0,32,9,15,25,58,16,22,15,10,20,0,4,54,28
C. Montgomery Burns,16,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,9,0,0,0,2,4,49,2,1,2,3,0,0,0,3,0,0,0,0,0,0,12,0,0,3,4,2,0,0,0,0,0,0,23,0,6,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,4,36,0,0,2,4,1,1,0,11,1,0,12,0,2,6,2,0,0,2,0,2,0,0,0,0,0,8,24,0,58,0,0,0,0,7,29,0,6,7,0,0,0,2,0,3,4,0,4,1,0,0,2,2,76,0,4,0,0,5,0,0,8,0,0,32,0,0,8,0,0,0,0,1,0,0,3,0,0,2,54,14,2,0,15,0,2,1,3,0,9,0,0,8,0,0,3,0,0,0,0,23,0,0,0,2,0,0,0,3,2,32,0,0,0,10,5,0,0,0,0,41,7,2,0,0,1,0,0,2,56,19,11,3,0,13,23,0,0,1,1,1,2,60,1,0,0,9,0,5,0,6,1,1,10,2,9,0,0,2,0,1,1,10,26,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,8,1,0,14,0,0,32,0,16,0,0,0,77,8,0,0,32,0,1,0,0,0,1,4,0,46,2,0,0,7,1,71,4,0,0,0,0,0,0,77,2,0,0,0,0,0,0,50,0,7,32,0,2,13,8,1,32,8,0,0,0,0,47,0,0,63,0,18,0,0,0,0,14,0,0,0,0,0,19,0,0,0,0,0,5,13,0,0,0,1,29,0,78,19,0,38,0,3,28,0,3,0,8,0,0,0,0,5,2,0,32,10,2,26,2,0,0,6,0,6,0,2,0,0,0,23,0,5,2,6,0,0,0,0,0,30,1,0,42,0,0,0,2,0,21,16,0,20,0,0,11,0,2,0,0,0,0,0,1,0,0,0,0,0,4,5,50,1,10,33,7,0,0,0,0,0,0,0,0,0,3,6,0,5,11,0,40,0,0,2,0,39,0,0,0,0,0,30,0,0,6,16,10,0,0,0,6,0,0,0,48,0,1,0,2,0,0,2,0,0,3,0,3,0,0,74,22,14,16,6,0,0,0,0,0,0,0,3,0,0,13,11,0,13,0,1,0,0,40,2,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,3,58,5,0,2,0,11,0,0,0,0,0,0,0,0,3,6,0,0,0,12,4,4,2,0,4,0,0,67,0,0,0,3
Moe Szyslak,7,26,6,0,0,4,0,14,0,10,10,7,9,0,3,0,9,0,89,0,0,12,5,0,9,0,3,2,0,2,5,7,4,5,12,2,9,0,0,4,2,5,6,3,2,0,0,18,0,10,4,4,7,0,5,9,13,4,6,0,4,0,3,5,6,12,0,4,3,2,1,3,4,5,5,6,3,94,4,1,0,0,3,2,1,2,3,2,3,1,2,2,5,11,3,2,9,0,1,2,1,2,3,0,0,2,2,55,0,5,0,5,1,2,6,5,0,1,5,1,0,2,4,4,2,3,0,0,5,3,0,6,5,4,0,9,5,4,0,72,2,20,0,61,1,0,5,1,1,4,0,22,10,3,42,0,1,2,20,0,3,0,1,2,0,5,8,0,0,2,0,0,1,16,1,1,0,16,2,4,2,0,5,13,0,5,0,0,0,2,5,0,2,0,0,0,5,5,3,1,4,0,0,6,1,2,0,0,8,0,0,5,0,2,2,0,2,4,1,3,7,0,1,4,6,7,29,0,0,2,2,4,0,1,0,10,2,1,0,0,13,4,0,1,6,0,0,0,0,3,0,6,1,1,2,4,0,0,22,1,0,2,4,2,4,7,0,0,0,4,0,0,0,54,1,3,0,1,0,1,2,9,3,0,3,17,1,1,10,0,0,1,3,8,0,4,1,0,1,5,2,1,3,4,1,3,4,0,4,0,17,0,71,0,13,0,0,4,0,2,5,0,0,0,2,0,0,2,1,0,0,0,0,0,4,0,3,2,0,0,16,0,0,0,2,5,9,3,0,0,5,1,4,0,4,0,0,7,0,2,0,4,0,5,12,0,19,0,0,2,3,9,0,3,0,2,4,4,13,13,3,1,0,9,0,4,4,0,1,0,3,5,35,0,0,0,0,0,1,0,1,0,4,0,0,0,2,1,0,5,8,10,0,0,0,1,0,3,1,2,1,7,4,2,2,3,6,2,0,5,3,11,12,1,4,1,0,3,1,2,0,0,3,9,6,45,7,64,7,0,2,5,4,13,0,0,0,3,5,1,3,2,1,0,0,5,3,11,7,1,0,4,5,5,1,6,79,0,20,0,2,6,6,0,3,0,2,0,0,5,0,19,2,7,4,0,3,6,4,1,40,0,1,9,0,3,1,0,0,9,3,0,2,1,10,56,0,8,3,7,11,1,7,0,2,0,87,0,4,0,0,32,1,1,7,0,11,0,0,3,4,2,0,1,2,0,0,7,1,35,1,3
Seymour Skinner,0,15,0,3,18,8,0,2,0,0,7,3,3,4,1,0,2,10,0,1,7,5,2,5,1,0,1,1,18,0,21,1,7,0,1,3,0,1,24,0,1,1,0,0,14,0,0,0,0,0,17,0,3,9,2,2,1,0,0,15,5,37,0,6,0,0,0,23,5,0,0,0,1,8,0,7,0,0,4,2,0,39,0,0,0,2,0,2,0,2,3,3,1,0,39,0,0,0,0,6,5,0,3,0,16,1,0,0,0,3,12,0,0,0,6,0,0,5,6,0,0,0,29,13,0,30,4,7,1,0,0,1,29,0,0,0,0,2,0,0,0,0,2,0,0,12,4,0,11,6,0,0,0,3,23,0,8,10,7,0,0,1,2,3,1,1,2,0,24,12,26,0,0,17,0,0,6,0,1,5,0,0,2,2,0,0,1,0,8,12,11,2,0,2,0,33,0,22,0,0,1,0,6,7,1,2,4,0,10,4,0,0,0,2,2,51,31,0,9,0,0,2,6,4,0,0,8,2,14,22,0,0,4,0,1,1,4,4,2,0,0,0,35,2,3,0,0,1,0,0,29,0,0,1,6,0,0,0,13,5,0,3,4,7,0,18,0,0,0,3,0,1,1,0,1,9,0,0,28,0,0,0,4,0,2,2,0,1,0,0,68,7,0,5,11,1,0,0,0,0,0,0,2,0,0,0,9,24,1,0,0,0,0,0,0,1,4,0,33,3,0,7,11,0,0,6,0,0,8,0,1,0,6,0,0,0,2,0,22,0,0,1,0,0,0,0,2,0,0,0,6,2,0,0,0,0,0,62,0,0,0,2,0,3,2,0,4,1,19,0,0,15,0,4,0,3,7,1,1,3,1,0,0,30,0,37,5,1,9,0,26,4,1,3,3,7,0,0,0,0,0,0,0,0,2,2,0,0,12,6,0,5,0,6,0,0,5,0,1,3,0,0,2,0,0,7,6,0,0,9,0,0,7,0,0,31,0,3,0,0,1,11,1,13,9,0,0,0,0,1,13,0,0,2,10,45,1,3,4,3,0,0,4,2,59,26,0,5,3,5,2,5,4,1,4,1,0,0,0,0,1,7,0,8,3,0,0,9,0,0,0,8,6,2,14,0,3,0,13,10,1,0,0,1,0,0,9,0,16,0,4,22,0,3,3,0,4,10,0,0,1,0,1,40,0,12,0,10,4,9,0,1,0,13,2,3,1,0,3,0,0,0,2,8,12,10,0,0,4,0,0,2
Ned Flanders,0,0,0,0,0,2,0,2,20,0,10,19,2,2,0,0,8,4,0,1,0,0,5,0,6,1,0,7,0,0,0,1,0,0,4,2,2,2,0,0,8,0,0,0,1,0,1,5,0,9,2,9,0,0,5,0,0,8,1,3,0,1,0,2,2,22,0,0,68,3,1,1,0,0,6,1,7,0,4,1,0,0,0,0,11,22,0,2,0,0,0,0,1,2,0,3,0,33,0,0,1,3,0,0,0,2,14,0,0,16,0,0,1,69,3,0,0,0,6,8,16,2,11,0,3,1,3,13,1,0,4,6,3,14,4,0,1,52,0,0,6,1,3,4,0,0,4,0,0,1,1,2,0,2,0,1,0,0,1,0,0,0,21,10,0,2,3,3,3,47,0,1,0,0,2,3,0,1,0,3,0,2,2,0,13,5,1,0,1,1,4,0,2,7,3,0,0,4,6,2,3,0,5,2,29,3,1,0,5,1,0,43,0,0,2,13,1,0,0,4,2,0,0,1,1,5,0,0,0,0,3,0,7,2,1,3,19,0,0,0,2,0,0,0,1,0,8,3,2,0,0,4,0,46,0,0,21,0,1,12,0,0,3,0,0,5,0,0,6,3,0,0,4,0,4,5,4,6,7,5,54,1,0,0,3,0,1,7,1,0,0,0,0,20,0,0,6,0,0,0,0,0,5,5,0,48,1,0,0,0,0,2,0,0,0,0,19,0,0,1,0,0,0,0,5,0,15,11,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,56,0,0,3,6,0,5,0,0,0,5,0,2,1,0,3,4,0,3,13,1,0,0,5,0,0,1,0,0,3,0,0,2,0,4,13,0,6,0,1,0,6,2,0,2,34,5,3,5,1,0,0,7,1,0,0,1,6,0,0,1,0,0,2,1,0,0,3,0,7,0,0,2,2,0,0,0,42,5,1,1,0,1,2,8,3,4,1,0,0,0,0,0,52,1,0,2,0,17,0,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,7,15,1,2,0,6,0,0,76,9,0,0,7,0,1,1,5,1,0,5,1,1,0,53,6,2,0,5,0,0,4,0,0,0,4,4,0,0,31,0,4,0,0,26,2,0,0,2,0,0,1,0,0,0,0,0,37,0,0,3,0,4,0,0,2,0,0,0,0,0,1,0,14,3,0,0,0,0,3,0,3,0,0,52,0,2,2,1,31
Grampa Simpson,0,24,0,4,4,11,0,0,2,4,0,0,2,0,0,0,0,0,0,13,0,2,0,3,0,8,0,12,0,4,0,0,4,0,0,0,0,13,0,41,7,0,2,1,0,5,96,0,0,0,0,4,4,5,2,0,0,1,2,0,0,5,0,0,2,0,2,0,1,1,1,0,0,3,0,0,1,5,2,3,7,0,11,2,0,2,0,2,0,1,0,0,4,0,2,19,1,0,0,0,0,0,1,2,8,3,16,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,1,19,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,4,4,10,0,1,0,0,0,5,0,0,1,0,35,3,0,0,2,2,2,5,0,1,1,0,0,0,2,0,0,0,8,0,5,0,14,1,1,11,6,4,6,5,4,0,2,2,0,2,4,4,33,5,2,6,6,0,1,2,5,0,0,1,6,2,22,1,33,1,1,2,2,0,0,1,1,3,1,4,1,1,0,2,1,0,1,0,48,0,1,0,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,11,0,2,0,0,0,3,5,1,0,2,2,0,0,0,0,3,2,2,68,5,2,0,0,3,0,4,0,3,1,0,2,5,1,0,6,0,0,0,0,0,0,4,0,0,0,0,21,0,0,0,0,1,0,0,0,0,6,0,1,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,10,9,0,20,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,10,7,0,10,0,0,22,8,0,0,115,0,0,0,0,0,39,2,1,1,9,1,2,3,5,51,2,3,4,2,7,0,0,0,1,0,3,0,2,7,5,11,1,0,6,7,3,11,0,4,0,0,0,1,0,1,0,17,0,0,0,3,0,8,7,0,0,1,4,0,0,7,2,1,3,0,1,3,0,0,0,10,0,0,0,0,0,40,0,44,5,0,4,2,9,1,1,2,27,3,0,0,1,1,2,0,0,0,0,1,1,1,0,0,15,0,0,12,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,0,2,0,0,3,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,2,38,0,2,0,0,8,0,0,0,2,2,9,0,2,1,7,1,1,41,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,38,18,0,0,6,0,2,0,0,0,1
